level,a1_count,a2_count,a3_count,a4_count,a1_time,a2_time,a3_time,a4_time,blinkes,saccades,total_time,performance
Card1,4,5,2,1,"6,759","1,842,936","1,226,044",0,5,"3,349,967","7,740,119",1
Card2,5,24,31,8,"5,014,801","5,472,565","8,068,252","9,455,643",50,"1,039,046","6,471,812",0
Card3,3,4,2,3,"7,149,048","1,027,336","5,801,544","1,419,995",10,"4,985,842","1,113,587",0
Card4,1,2,2,2,0,"4,022,064","8,713,608","1,411,625",10,"167,507","5,506,935",1
Card5,3,3,5,2,"3,247,528","4,024,124","703,537",0,10,"6,134,574","1,706,826",0
Card6,1,3,2,1,0,"502,861","1,373,749",0,5,"4,438,056","812,178",0
Card7,1,5,6,3,0,"1,150,452","1,462,761","2,347,031",20,"157,509","1,999,169",1
Card8,1,4,1,1,0,"1,485,992",0,"5,007,591",10,"3,970,797","9,248,703",0
Card9,9,12,10,1,"1,010,773","1,565,277","1,066,284",0,40,"5,203,408","5,361,855",0
Card10,1,3,3,,0,"150,795","5,137,787",,5,"5,321,233","7,768,661",1
Card11,3,2,3,2,"1,217,789","1,118,469","1,407,257","3,016,968",5,"5,634,033","1,722,238",1
Card12,2,5,2,1,"111,084","6,425,476","2,705,841",0,5,"4,152,762","7,005,814",1
Card13,3,5,3,1,"4,149,475","5,836,182","1,016,556",0,25,"5,193,987","861,232",1
Card14,2,3,3,1,"2,457,428","2,682,953","9,965,363",0,5,"3,487,751","8,109,711",1
Card15,3,6,3,1,"1,689,194","1,380,646","6,390,228",0,10,"2,140,441","1,340,428",1
