level;a1_count;a2_count;a3_count;a4_count;a1_time;a2_time;a3_time;a4_time;blinkes;saccades;total_time;performance
Card1;7;12;32;1;0,9725037;12,63519;9,826078;0;5;76,39148;29,01954;1
Card2;7;9;14;9;3,633678;3,062073;3,035126;4,094517;125;13,98466;34,00228;1
Card3;2;1;2;2;0,4463043;0;0;0,01309109;5;0,6434086;28,40489;1
Card4;8;1;3;;0,4592094;0;1,329514;;155;210,5867;12,03896;1
Card5;15;19;26;1;2,799622;6,477921;9,302139;0;35;58,76034;130,4825;0
Card6;7;17;21;13;3,025879;3,184174;4,602127;3,640778;130;40,33683;110,1259;0
Card7;32;29;12;5;19,59088;16,12354;1,579742;0,3580933;245;0,1200295;175,3085;1
Card8;3;1;6;44;0,06713867;0;1,433289;22,62781;105;131,4456;102,7332;1
Card9;34;17;1;2;26,04114;1,094788;0;0,03344727;365;4,547434;55,31543;1
Card10;1;6;1;;0;1,820251;0;;40;0,2812027;20,20819;1
Card11;110;33;2;2;66,98236;4,549072;0,1787109;0,3016968;220;1,508763;134,8018;1
Card12;23;2;4;3;10,88916;0,3128662;0,5910645;0,6141968;35;2,134779;27,4118;1
Card13;3;2;5;5;0,6234131;0,01135254;3,509766;1,763916;30;5,789536;14,33148;1
Card14;14;4;2;7;6,02002;0,7819214;0,2792358;4,048889;10;17,36466;26,3844;1
Card15;28;13;10;14;15,30994;0,8696899;1,181091;9,700134;165;11,30678;116,2714;1
