level;a1_count;a2_count;a3_count;a4_count;a1_time;a2_time;a3_time;a4_time;blinkes;saccades;total_time;performance
Card1;4;5;2;1;0,06759;1,842936;0,01226044;0;5;3,349967;7,740119;1
Card2;5;24;31;8;0,05014801;5,472565;8,068252;0,9455643;50;10,39046;64,71812;0
Card3;3;4;2;3;0,7149048;1,027336;0,5801544;1,419995;10;4,985842;11,13587;0
Card4;1;2;2;2;0;0,4022064;0,8713608;1,411625;10;1,67507;5,506935;1
Card5;3;3;5;2;0,3247528;0,4024124;0,703537;0;10;6,134574;17,06826;0
Card6;1;3;2;1;0;0,502861;0,1373749;0;5;0,4438056;8,12178;0
Card7;1;5;6;3;0;1,150452;1,462761;0,2347031;20;15,7509;19,99169;1
Card8;1;4;1;1;0;1,485992;0;0,5007591;10;3,970797;9,248703;0
Card9;9;12;10;1;1,010773;1,565277;1,066284;0;40;52,03408;53,61855;0
Card10;1;3;3;;0;1,50795;0,5137787;;5;5,321233;7,768661;1
Card11;3;2;3;2;1,217789;0,01118469;1,407257;0,3016968;5;5,634033;17,22238;1
Card12;2;5;2;1;0,0111084;0,6425476;0,2705841;0;5;0,4152762;7,005814;1
Card13;3;5;3;1;0,4149475;0,5836182;1,016556;0;25;5,193987;8,61232;1
Card14;2;3;3;1;0,2457428;0,2682953;0,9965363;0;5;3,487751;8,109711;1
Card15;3;6;3;1;1,689194;1,380646;0,6390228;0;10;2,140441;13,40428;1
